city,city_en,city_pop,city_lat,city_lon,cumulative_detainees,cumulative_detainees_per_1000000
Северодвинск,NA,NA,NA,NA,1,NA
Серпухов,Serpukhov,125473,54.91796,37.423,2,15.939684234855306
Сестрорецк,Sestroretsk,NA,60.10145,29.95736,2,NA
Сибай,Sibay,60017,52.71336,58.66814,1,16.661945782028425
Симферополь,Simferopol,336212,61.52401,105.3188,9,26.76882443220349
Смоленск,Smolensk,320170,54.79031,32.05037,1,3.1233407252397165
Соликамск,NA,NA,NA,NA,1,NA
Сочи,Sochi,432322,43.60281,39.73415,17,39.32254199416176
Ставрополь,Stavropol,454488,45.03901,41.9632,6,13.201668690922533
Струнино,String,NA,56.3745612,38.5844632,1,NA
Ступино,NA,NA,NA,NA,2,NA
Сургут,Surgut,387235,61.25458,73.39617,1,2.5824111973349515
Сыктывкар,Syktyvkar,243926,61.66411,50.81688,7,28.697227847789904
Таганрог,NA,NA,NA,NA,4,NA
Тамбов,Tambov,289701,52.73711,41.43961,3,10.355504468400179
Таруса,Tarusa,NA,54.72278,37.16478,1,NA
Тверь,Tver,424969,56.85872,35.9176,29,68.24027164334339
Томск,Tomsk,568508,56.48843,84.94805,26,45.733745171571904
Троицк (Москва),NA,NA,NA,NA,12,NA
Туймазы,Tuymase,NA,54.6003824,53.6947066,1,NA
Тула,Tula,467955,54.20484,37.61849,1,2.1369576134457375
Тюмень,Tyumen,816700,57.15534,65.56186,36,44.079833476184646
Улан-Удэ,Ulan-Ude,437514,51.83359,107.584,9,20.57077030677875
Ульяновск,Ulyanovsk,625462,54.31866,48.39778,8,12.790545228966748
Уфа,Ufa,1125933,54.73479,55.95786,73,64.83511896356178
Феодосия,Feodosia,67750,45.031933,35.382433,1,14.760147601476016
Хабаровск,Khabarovsk,610305,48.48144,135.0721,15,24.577874996927765
Химки,Khimki,257757,55.89406,37.44395,1,3.8796230558238958
Чапаевск,Chapaevsk,NA,52.96967,49.70673,1,NA
Чебоксары,Cheboksary,495810,56.11677,47.26278,3,6.05070490712168
Челябинск,Chelyabinsk,1187960,55.16444,61.43684,101,85.01969763291693
Чита,NA,NA,NA,NA,1,NA
Югорск,NA,NA,NA,NA,1,NA
Южно-Сахалинск,Yuzhno-Sakhalinsk,200235,46.96409,142.7285,2,9.988263790046696
Якутск,Yakutsk,330615,62.03969,129.7422,1,3.024666152473421
Ялта,Yalta,78171,44.49095,34.15327,1,12.792467794962327
Ярославль,Yaroslavl,601403,57.62607,39.88447,49,81.47614827328762
