city,district,date,city_detainees,district_detainees
Москва,ОМВД России по району Таганский г. Москвы,24.02.2022,1083,15
Москва,ОМВД России по району Котловка г. Москвы,24.02.2022,1083,13
Москва,ОМВД России по району Черемушки г. Москвы,24.02.2022,1083,18
Москва,ОМВД Медведково Южное,24.02.2022,1083,19
Москва,ОМВД России по Обручевскому району г. Москвы,24.02.2022,1083,23
Москва,ОМВД России по району Чертаново Центральное г. Москвы,24.02.2022,1083,9
Москва,ОМВД России по району Братеево г. Москвы,24.02.2022,1083,11
Москва,Отдел МВД России по Мещанскому району г. Москвы,24.02.2022,1083,13
Москва,Отдел МВД России по району Люблино,24.02.2022,1083,6
Москва,ОМВД Бабушкинский,24.02.2022,1083,33
Москва,Отдел МВД России по району Китай-город г. Москвы,24.02.2022,1083,14
Москва,Отдел МВД России по району Замоскворечье г. Москвы,24.02.2022,1083,2
Москва,ОМВД России по району Дегунино Западное г. Москвы,24.02.2022,1083,23
Москва,ОМВД России по району Чертаново Северное г. Москвы,24.02.2022,1083,8
Москва,ОМВД России по району Фили-Давыдково г. Москвы,24.02.2022,1083,19
Москва,ОМВД России по району Нагатино-Садовники г. Москвы,24.02.2022,1083,22
Москва,Отдел МВД России по району Измайлово г. Москвы,24.02.2022,1083,4
Москва,ОМВД Бибирево,24.02.2022,1083,15
Москва,Отдел МВД России по району Южное Тушино г. Москвы,24.02.2022,1083,26
Москва,ОМВД России по району Крюково г. Москвы,24.02.2022,1083,14
Москва,Отдел МВД России по району Капотня,24.02.2022,1083,23
Москва,ОМВД России по району Сокольники г. Москвы,24.02.2022,1083,18
Москва,Отдел МВД России по району Ново-Переделкино г. Москвы,24.02.2022,1083,15
Москва,ОМВД России по району Хамовники г. Москвы,24.02.2022,1083,8
Москва,ОМВД России по району Тверской г. Москвы,24.02.2022,1083,14
Москва,Участковый пункт полиции № 4 по Академческому району,24.02.2022,1083,4
Москва,ОМВД Медведково Северное,24.02.2022,1083,24
Москва,Отдел МВД России по району Лефортово,24.02.2022,1083,10
Москва,Отдел МВД России по району Ивановское г. Москвы,24.02.2022,1083,24
Москва,ОМВД России по Пресненскому району г. Москвы,24.02.2022,1083,4
Москва,Отдел МВД России по району Строгино г. Москвы,24.02.2022,1083,10
Москва,ОМВД России по району Аэропорт,24.02.2022,1083,22
Москва,Отдел МВД России по району Новогиреево г. Москвы,24.02.2022,1083,21
Москва,Отдел МВД России по району Басманный г. Москвы,24.02.2022,1083,19
Москва,Отдел МВД России по району Хорошево-Мневники г. Москвы,24.02.2022,1083,27
Москва,ОМВД Отрадное,24.02.2022,1083,13
Москва,ОМВД России по району Бутово Южное г. Москвы,24.02.2022,1083,18
Москва,Отдел МВД России по району Покровское-Стрешнево г. Москвы,24.02.2022,1083,25
Москва,ОМВД России по району Дегунино Восточное г. Москвы,24.02.2022,1083,11
Москва,Отдел полиции № 1 МУ МВД «Орехово-Зуевское»,24.02.2022,1083,1
Москва,ОМВД Бутырский,24.02.2022,1083,16
Москва,Отдел МВД России по району Северное Тушино г. Москвы,24.02.2022,1083,22
Москва,ОМВД Лосиноостровский,24.02.2022,1083,24
Москва,Отдел МВД России по району Арбат г. Москвы,24.02.2022,1083,2
Москва,Отдел МВД России по району Кузьминки,24.02.2022,1083,20
Москва,ОМВД России по району Преображенское г. Москвы,24.02.2022,1083,16
Москва,ОМВД России по районам Матушкино и Савелки г. Москвы,24.02.2022,1083,16
Москва,ОМВД Ярославский,24.02.2022,1083,21
Москва,Отдел МВД России по району Измайлово Северное г. Москвы,24.02.2022,1083,18
Москва,ОМВД России по Головинскому району,24.02.2022,1083,29
Москва,Отдел МВД России по району Щукино г. Москвы,24.02.2022,1083,13
Москва,Лужники (отдел полиции по охране с/к),24.02.2022,1083,6
Москва,ОМВД России по району Перово г. Москвы,24.02.2022,1083,24
Москва,Отдел МВД России по району Выхино-Жулебино г. Москвы,24.02.2022,1083,12
Москва,ОМВД России по району Бирюлёво Восточное г. Москвы,24.02.2022,1083,25
Москва,ОМВД России по району Коптево г. Москвы,24.02.2022,1083,7
Москва,ОМВД России по району Бескудниково,24.02.2022,1083,28
Москва,МО МВД России «Щербинский» г. Москвы,24.02.2022,1083,2
Москва,ОМВД России по району Академический г. Москвы,24.02.2022,1083,7
Москва,ОМВД России по району Орехово-Борисово Южное г. Москвы,24.02.2022,1083,18
Москва,ОМВД России по району Ховрино г. Москвы,24.02.2022,1083,25
Москва,ОМВД России по району Ясенево г. Москвы,24.02.2022,1083,2
Москва,ОМВД России по району Тропарево-Никулино г. Москва,24.02.2022,1083,1
Москва,ОМВД Останкинский,24.02.2022,1083,1
Москва,ОМВД России по району Солнцево г. Москвы,24.02.2022,1083,24
Москва,ОМВД России по району Тимирязевский г. Москвы,24.02.2022,1083,1
Москва,Отдел МВД России по району Некрасовка,24.02.2022,1083,2
Москва,Отдел МВД России по району Крылатское г. Москвы,24.02.2022,1083,34
Москва,ОМВД России по району Теплый Стан г. Москвы,24.02.2022,1083,7
Москва,Отдел МВД России по району Кунцево г. Москвы,24.02.2022,1083,1
Москва,ОМВД Марфино,24.02.2022,1083,1
Москва,Отдел МВД России по району Текстильщики,24.02.2022,1083,12
Москва,"Задержаны, но пока неизвестно, в каких отделах находятся: 178",24.02.2022,1083,178
Санкт-Петербург,Отдел полиции № 51 Московского района г. Санкт-Петербурга,24.02.2022,475,16
Санкт-Петербург,Отдел полиции № 75 Невского района г. Санкт-Петербурга,24.02.2022,475,13
Санкт-Петербург,Отдел полиции № 8 Кировского района г. Санкт-Петербурга,24.02.2022,475,13
Санкт-Петербург,Отдел полиции № 80 Колпинского района г. Санкт-Петербурга,24.02.2022,475,4
Санкт-Петербург,Отдел полиции № 70 Невского района г. Санкт-Петербурга,24.02.2022,475,15
Санкт-Петербург,Отдел полиции № 77 Адмиралтейского района г. Санкт-Петербурга,24.02.2022,475,9
Санкт-Петербург,Отдел полиции № 28 Центрального района г. Санкт-Петербурга,24.02.2022,475,5
Санкт-Петербург,Отдел полиции № 1 Адмиралтейского района г. Санкт-Петербурга,24.02.2022,475,9
Санкт-Петербург,Отдел полиции № 26 по Красногвардейскому району г. Санкт-Петербурга,24.02.2022,475,7
Санкт-Петербург,Отдел полиции № 20 Выборгского район г. Санкт-Петербурга,24.02.2022,475,1
Санкт-Петербург,Отдел полиции № 45 Невского района г. Санкт-Петербурга,24.02.2022,475,4
Санкт-Петербург,Отдел полиции № 29 Московского района г. Санкт-Петербурга,24.02.2022,475,12
Санкт-Петербург,Отдел полиции № 76 Центрального района г. Санкт-Петербурга,24.02.2022,475,4
Санкт-Петербург,Отдел полиции № 52 Красногвардейского района г. Санкт-Петербурга,24.02.2022,475,19
Санкт-Петербург,Отдел полиции № 32 Невского района г. Санкт-Петербурга,24.02.2022,475,28
Санкт-Петербург,Отдел полиции № 33 Московского района г. Санкт-Петербурга,24.02.2022,475,17
Санкт-Петербург,Отдел полиции № 35 Приморского района г. Санкт-Петербурга,24.02.2022,475,18
Санкт-Петербург,Отдел полиции № 7 Фрунзенского района г. Санкт-Петербурга,24.02.2022,475,20
Санкт-Петербург,Отдел полиции № 43 Петроградского района г. Санкт-Петербурга,24.02.2022,475,1
