city,district,location,lat,lon
Москва,ОМВД России по району Коптево г. Москвы,ОМВД России по району Коптево г. Москвы,55.83427,37.52394
Москва,ОМВД России по району Бескудниково,"ОМВД России по району Бескудниково, Москва",55.87035,37.56161
Москва,МО МВД России «Щербинский» г. Москвы,МО МВД России «Щербинский» г. Москвы,55.50029,37.54198
Москва,ОМВД России по району Академический г. Москвы,ОМВД России по району Академический г. Москвы,55.68163,37.58746
Москва,ОМВД России по району Орехово-Борисово Южное г. Москвы,ОМВД России по району Орехово-Борисово Южное г. Москвы,55.59971,37.73879
Москва,ОМВД России по району Ховрино г. Москвы,ОМВД России по району Ховрино г. Москвы,55.87033,37.48669
Москва,ОМВД России по району Ясенево г. Москвы,ОМВД России по району Ясенево г. Москвы,55.6096,37.51387
Москва,ОМВД России по району Тропарево-Никулино г. Москва,ОМВД России по району Тропарево-Никулино г. Москва,55.67482,37.49531
Москва,ОМВД Останкинский,"ОМВД Останкинский, Москва",55.81298,37.63553
Москва,ОМВД России по району Солнцево г. Москвы,ОМВД России по району Солнцево г. Москвы,55.64386,37.40979
Москва,ОМВД России по району Тимирязевский г. Москвы,ОМВД России по району Тимирязевский г. Москвы,55.8112,37.58936
Москва,Отдел МВД России по району Некрасовка,"Отдел МВД России по району Некрасовка, Москва",55.70751,37.93009
Москва,Отдел МВД России по району Крылатское г. Москвы,Отдел МВД России по району Крылатское г. Москвы,55.76386,37.4044
Москва,ОМВД России по району Теплый Стан г. Москвы,ОМВД России по району Теплый Стан г. Москвы,55.6096,37.51387
Москва,Отдел МВД России по району Кунцево г. Москвы,Отдел МВД России по району Кунцево г. Москвы,55.72846,37.407470000000004
Москва,ОМВД Марфино,"ОМВД Марфино, Москва",55.8437,37.57382
Москва,Отдел МВД России по району Текстильщики,"Отдел МВД России по району Текстильщики, Москва",55.72594,37.71579
Санкт-Петербург,Отдел полиции № 51 Московского района г. Санкт-Петербурга,Отдел полиции № 51 Московского района г. Санкт-Петербурга,59.84048,30.32983
Санкт-Петербург,Отдел полиции № 75 Невского района г. Санкт-Петербурга,Отдел полиции № 75 Невского района г. Санкт-Петербурга,59.89734,30.49593
Санкт-Петербург,Отдел полиции № 8 Кировского района г. Санкт-Петербурга,Отдел полиции № 8 Кировского района г. Санкт-Петербурга,59.8414,30.22806
Санкт-Петербург,Отдел полиции № 80 Колпинского района г. Санкт-Петербурга,Отдел полиции № 80 Колпинского района г. Санкт-Петербурга,59.73741,30.61865
Санкт-Петербург,Отдел полиции № 70 Невского района г. Санкт-Петербурга,Отдел полиции № 70 Невского района г. Санкт-Петербурга,59.88335,30.45471
Санкт-Петербург,Отдел полиции № 77 Адмиралтейского района г. Санкт-Петербурга,Отдел полиции № 77 Адмиралтейского района г. Санкт-Петербурга,59.90985,30.28225
Санкт-Петербург,Отдел полиции № 28 Центрального района г. Санкт-Петербурга,Отдел полиции № 28 Центрального района г. Санкт-Петербурга,59.92033,30.33995
Санкт-Петербург,Отдел полиции № 1 Адмиралтейского района г. Санкт-Петербурга,Отдел полиции № 1 Адмиралтейского района г. Санкт-Петербурга,59.93244,30.29893
Санкт-Петербург,Отдел полиции № 26 по Красногвардейскому району г. Санкт-Петербурга,Отдел полиции № 26 по Красногвардейскому району г. Санкт-Петербурга,59.96174,30.48647
Санкт-Петербург,Отдел полиции № 20 Выборгского район г. Санкт-Петербурга,Отдел полиции № 20 Выборгского район г. Санкт-Петербурга,60.04146,30.36872
Санкт-Петербург,Отдел полиции № 45 Невского района г. Санкт-Петербурга,Отдел полиции № 45 Невского района г. Санкт-Петербурга,59.84235,30.49715
Санкт-Петербург,Отдел полиции № 29 Московского района г. Санкт-Петербурга,Отдел полиции № 29 Московского района г. Санкт-Петербурга,59.86036,30.31186
Санкт-Петербург,Отдел полиции № 76 Центрального района г. Санкт-Петербурга,Отдел полиции № 76 Центрального района г. Санкт-Петербурга,59.93111,30.37487
Санкт-Петербург,Отдел полиции № 52 Красногвардейского района г. Санкт-Петербурга,Отдел полиции № 52 Красногвардейского района г. Санкт-Петербурга,59.93166,30.4194
Санкт-Петербург,Отдел полиции № 32 Невского района г. Санкт-Петербурга,Отдел полиции № 32 Невского района г. Санкт-Петербурга,59.8559,30.47253
Санкт-Петербург,Отдел полиции № 33 Московского района г. Санкт-Петербурга,Отдел полиции № 33 Московского района г. Санкт-Петербурга,59.8597,30.3514
Санкт-Петербург,Отдел полиции № 35 Приморского района г. Санкт-Петербурга,Отдел полиции № 35 Приморского района г. Санкт-Петербурга,59.99489,30.28418
Санкт-Петербург,Отдел полиции № 7 Фрунзенского района г. Санкт-Петербурга,Отдел полиции № 7 Фрунзенского района г. Санкт-Петербурга,59.82654,30.41108
Санкт-Петербург,Отдел полиции № 43 Петроградского района г. Санкт-Петербурга,Отдел полиции № 43 Петроградского района г. Санкт-Петербурга,59.96264,30.32564
Санкт-Петербург,Отдел полиции № 42 Красносельского района г. Санкт-Петербурга,Отдел полиции № 42 Красносельского района г. Санкт-Петербурга,59.84434,30.14414
Санкт-Петербург,Отдел полиции № 66 Красногвардейского района г. Санкт-Петербурга,Отдел полиции № 66 Красногвардейского района г. Санкт-Петербурга,59.97714,30.42703
Санкт-Петербург,Отдел полиции № 64 Кировского района г. Санкт-Петербурга,Отдел полиции № 64 Кировского района г. Санкт-Петербурга,59.85666,30.22979
Санкт-Петербург,Отдел полиции № 13 Красногвардейского района г. Санкт-Петербурга,Отдел полиции № 13 Красногвардейского района г. Санкт-Петербурга,59.94142,30.48794
Санкт-Петербург,Отдел полиции № 16 Василеостровского района г. Санкт-Петербурга,Отдел полиции № 16 Василеостровского района г. Санкт-Петербурга,59.93303,30.27224
Санкт-Петербург,Отдел полиции № 31 Кировского района г. Санкт-Петербурга,Отдел полиции № 31 Кировского района г. Санкт-Петербурга,59.88848,30.26436
Санкт-Петербург,Отдел полиции № 14 Фрунзенского района г. Санкт-Петербурга,Отдел полиции № 14 Фрунзенского района г. Санкт-Петербурга,59.83935,30.38671
Санкт-Петербург,Отдел МВД по Колпинскому району г. Санкт-Петербурга,Отдел МВД по Колпинскому району г. Санкт-Петербурга,59.73548,30.58887
Санкт-Петербург,Отдел полиции № 17 Калининского района г. Санкт-Петербурга,Отдел полиции № 17 Калининского района г. Санкт-Петербурга,60.04608,30.38849
Санкт-Петербург,Отдел полиции № 2 Адмиралтейского района г. Санкт-Петербурга,Отдел полиции № 2 Адмиралтейского района г. Санкт-Петербурга,59.92219,30.30659
Санкт-Петербург,Отдел полиции № 82 Красносельского района г. Санкт-Петербурга,Отдел полиции № 82 Красносельского района г. Санкт-Петербурга,59.85347,30.2176
Санкт-Петербург,Отдел полиции № 78 Центрального района г. Санкт-Петербурга,Отдел полиции № 78 Центрального района г. Санкт-Петербурга,59.93819,30.35307
Санкт-Петербург,Отдел полиции № 59 Выборгского района г. Санкт-Петербурга,Отдел полиции № 59 Выборгского района г. Санкт-Петербурга,60.0531,30.344
Санкт-Петербург,Отдел полиции № 74 Красносельского района г. Санкт-Петербурга,Отдел полиции № 74 Красносельского района г. Санкт-Петербурга,59.86502,30.18016
Санкт-Петербург,Отдел полиции № 12 Фрунзенского района г. Санкт-Петербурга,Отдел полиции № 12 Фрунзенского района г. Санкт-Петербурга,59.86426,30.39881
Санкт-Петербург,Отдел полиции № 25 Приморского района г. Санкт-Петербурга,Отдел полиции № 25 Приморского района г. Санкт-Петербурга,59.99029,30.20835
Санкт-Петербург,Отдел полиции № 18 Петроградского района г. Санкт-Петербурга,Отдел полиции № 18 Петроградского района г. Санкт-Петербурга,59.9629,30.29327
Санкт-Петербург,Отдел полиции № 86 Приморского района г. Санкт-Петербурга,Отдел полиции № 86 Приморского района г. Санкт-Петербурга,60.01035,30.2651
Краснодар,ОВД Западного округа г. Краснодара,ОВД Западного округа г. Краснодара,45.05317,38.98323
Краснодар,Отдел полиции (Центральный округ) УМВД по городу Краснодару,"Отдел полиции (Центральный округ) УМВД по городу Краснодару, Краснодар",45.02027,38.96859
Екатеринбург,Отдел полиции № 9 УМВД по городу Екатеринбургу,"Отдел полиции № 9 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Екатеринбург,Отдел полиции № 11 УМВД по городу Екатеринбургу,"Отдел полиции № 11 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Екатеринбург,Отдел полиции № 7 УМВД по городу Екатеринбургу,"Отдел полиции № 7 УМВД по городу Екатеринбургу, Екатеринбург",56.81432,60.5832
Саратов,Отдел полиции № 1 в составе УМВД по городу Саратову (Волжский район),"Отдел полиции № 1 в составе УМВД по городу Саратову (Волжский район), Саратов",51.52664,46.03682
Саратов,Отдел полиции № 3 в составе УМВД по городу Саратову (Кировский район),"Отдел полиции № 3 в составе УМВД по городу Саратову (Кировский район), Саратов",51.54118,45.99781
Саратов,Отдел полиции № 6 в составе УМВД по городу Саратову (Фрунзенский район),"Отдел полиции № 6 в составе УМВД по городу Саратову (Фрунзенский район), Саратов",51.54118,45.99781
Нижний Новгород,Отдел полиции № 5 УМВД по Нижнему Новгороду,"Отдел полиции № 5 УМВД по Нижнему Новгороду, Нижний Новгород",56.33012,43.99134
Нижний Новгород,Отдел полиции № 2 УМВД по Нижнему Новгороду,"Отдел полиции № 2 УМВД по Нижнему Новгороду, Нижний Новгород",56.3227,43.95205
Нижний Новгород,Отдел полиции № 1 УМВД по Нижнему Новгороду,"Отдел полиции № 1 УМВД по Нижнему Новгороду, Нижний Новгород",56.23374,43.85312
Нижний Новгород,Отдел полиции № 7 УМВД по Нижнему Новгороду,"Отдел полиции № 7 УМВД по Нижнему Новгороду, Нижний Новгород",56.29392,44.0323
Воронеж,Отдел полиции № 6 УМВД по городу Воронежу (Центральный район),"Отдел полиции № 6 УМВД по городу Воронежу (Центральный район), Воронеж",51.6737,39.20625
Воронеж,Отдел полиции № 8 УМВД России по городу Воронежу (Ленинский район),"Отдел полиции № 8 УМВД России по городу Воронежу (Ленинский район), Воронеж",51.63583,39.23407
Калининград,Отдел МВД России по Ленинградскому району города Калининграда,"Отдел МВД России по Ленинградскому району города Калининграда, Калининград",54.71845,20.50632
Калининград,Отдел полиции № 3 УМВД по городу Калининграду,"Отдел полиции № 3 УМВД по городу Калининграду, Калининград",55.76997,37.61325
Калининград,Отдел полиции № 2 УМВД по городу Калининграду,"Отдел полиции № 2 УМВД по городу Калининграду, Калининград",55.76997,37.61325
Казань,Отдел полиции № 16 «Япеева» УМВД по г. Казани,Отдел полиции № 16 «Япеева» УМВД по г. Казани,55.79825,49.11597
Казань,Отдел полиции № 2 «Вишневский» УМВД по г. Казани,Отдел полиции № 2 «Вишневский» УМВД по г. Казани,55.7821,49.15589
Волгоград,Отдел полиции № 4 УМВД по г. Волгограду,Отдел полиции № 4 УМВД по г. Волгограду,48.71067,44.49359
Тюмень,Отдел полиции № 4 УМВД по г. Тюмени,Отдел полиции № 4 УМВД по г. Тюмени,57.14975,65.56628
Уфа,Отдел полиции № 6 (Октябрьский район),"Отдел полиции № 6 (Октябрьский район), Уфа",54.75124,56.0281
Уфа,Отдел полиции № 9 (Кировский район),"Отдел полиции № 9 (Кировский район), Уфа",54.72396,55.9341
Уфа,Отдел полиции № 3 (Кировский район),"Отдел полиции № 3 (Кировский район), Уфа",54.70725,55.97587
Иваново,Отдел полиции № 1 «Ленинский»,"Отдел полиции № 1 «Ленинский», Иваново",55.91326,37.76768
Иваново,Отдел полиции № 2 «Октябрьский,"Отдел полиции № 2 «Октябрьский, Иваново",56.99455,40.99617
Пермь,Отдел полиции № 7 (дисл. Свердловский р-н) УМВД по г. Перми,Отдел полиции № 7 (дисл. Свердловский р-н) УМВД по г. Перми,57.99903,56.24249
Пермь,Отдел полиции № 1 УМВД по городу Пензе,"Отдел полиции № 1 УМВД по городу Пензе, Пермь",53.20287,45.02012
Новосибирск,Отдел полиции № 1 «Центральный»,"Отдел полиции № 1 «Центральный», Новосибирск",55.04404,82.92045
Новосибирск,Отдел полиции № 10 «Советский»,"Отдел полиции № 10 «Советский», Новосибирск",54.85858,83.09814
Новосибирск,Отдел полиции № 6 «Октябрьский»,"Отдел полиции № 6 «Октябрьский», Новосибирск",55.00933,82.95998
Оренбург,Отдел полиции № 1 МУ МВД «Оренбургское»,"Отдел полиции № 1 МУ МВД «Оренбургское», Оренбург",51.8318,55.13799
Киров,Управление МВД России по г. Кирову,Управление МВД России по г. Кирову,58.57633,49.62214
Ростов-на-Дону,Отдел полиции № 6 УМВД по городу Ростову-на-Дону,"Отдел полиции № 6 УМВД по городу Ростову-на-Дону, Ростов-на-Дону",47.25741,39.76999
Ростов-на-Дону,Отдел полиции № 3 УМВД по городу Ростову-на-Дону,"Отдел полиции № 3 УМВД по городу Ростову-на-Дону, Ростов-на-Дону",47.22495,39.71789
Иркутск,Отдел полиции № 5 УМВД по г. Иркутску,Отдел полиции № 5 УМВД по г. Иркутску,52.29083,104.294
Псков,Отдел полиции № 1 УМВД по городу Пскову,"Отдел полиции № 1 УМВД по городу Пскову, Псков",57.82219,28.36455
Колпино,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,59.73548,30.58887
Колпино,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,Отдел полиции № 55 Колпинского района г. Санкт-Петербурга,59.73548,30.58887
Великий Новгород,Управление МВД России по городу Великий Новгород,"Управление МВД России по городу Великий Новгород, Великий Новгород",58.54443,31.30573
Сыктывкар,УМВД России по городу Сыктывкару,"УМВД России по городу Сыктывкару, Сыктывкар",61.67454,50.82505
Вологда,Отдел полиции № 1 УМВД по г. Вологде,Отдел полиции № 1 УМВД по г. Вологде,59.20854,39.88498
Мурманск,Отдел полиции № 1 УМВД по городу Мурманску,"Отдел полиции № 1 УМВД по городу Мурманску, Мурманск",68.96289,33.0691
Рязань,Отдел полиции № 3 (по Железнодорожному району города Рязани),"Отдел полиции № 3 (по Железнодорожному району города Рязани), Рязань",54.62627,39.71609
Красноярск,Отдел полиции № 1 МУ МВД «Красноярское»,"Отдел полиции № 1 МУ МВД «Красноярское», Красноярск",55.76997,37.61325
Томск,Отдел полиции № 3 (по обслуживанию внутригородской территории Советский район) УМВД по городу Томску,"Отдел полиции № 3 (по обслуживанию внутригородской территории Советский район) УМВД по городу Томску, Томск",55.55446,37.71011
Пенза,Отдел полиции № 1 УМВД по городу Пензе,"Отдел полиции № 1 УМВД по городу Пензе, Пенза",53.19959,45.00121
Выборг,Управление МВД России по Выборгскому району,"Управление МВД России по Выборгскому району, Выборг",61.11519,28.85195
Брянск,Отдел полиции № 1 (Бежицкий район г. Брянска),Отдел полиции № 1 (Бежицкий район г. Брянска),53.30853,34.3153
Брянск,УМВД России по г. Брянску,УМВД России по г. Брянску,53.26081,34.34316
Челябинск,Отдел полиции № 1 (Ленинский район) УМВД по городу Челябинску,"Отдел полиции № 1 (Ленинский район) УМВД по городу Челябинску, Челябинск",55.19416,61.34033
Челябинск,Отдел полиции № 5 (Центральный район) УМВД по городу Челябинску,"Отдел полиции № 5 (Центральный район) УМВД по городу Челябинску, Челябинск",55.19416,61.34033
Смоленск,Отдел полиции № 1 УМВД по городу Смоленску,"Отдел полиции № 1 УМВД по городу Смоленску, Смоленск",54.77323,32.0477
Владивосток,УМВД по городу Владивостоку (отдел полиции № 1),"УМВД по городу Владивостоку (отдел полиции № 1), Владивосток",43.15522,131.9087
Тольятти,Отдел полиции № 24,"Отдел полиции № 24, Тольятти",53.53228,49.41202
Чебоксары,Отдел полиции № 1 УМВД по г. Чебоксары,Отдел полиции № 1 УМВД по г. Чебоксары,56.12688,47.2455
Пущино,Отдел полиции «Пущинский»,"Отдел полиции «Пущинский», Пущино",54.8275,37.62024
Ульяновск,Отдел МВД по Ленинскому району,"Отдел МВД по Ленинскому району, Ульяновск",54.32838,48.39287
Коломна,УМВД России по Коломенскому городскому округу,"УМВД России по Коломенскому городскому округу, Коломна",55.07339,38.78404
Самара,Отдел полиции № 4,"Отдел полиции № 4, Самара",53.21078,50.1445
Самара,Отдел полиции № 5,"Отдел полиции № 5, Самара",53.20144,50.18793
Тула,Отдел полиции «Центральный» УМВД по г. Туле,Отдел полиции «Центральный» УМВД по г. Туле,54.18882,37.62594
Прохладный,Межмуниципальный отдел МВД России «Прохладненский»,"Межмуниципальный отдел МВД России «Прохладненский», Прохладный",55.56464,37.46548
Фрязино,Отдел полиции по г. о. Фрязино МУ МВД «Щелковское»,Отдел полиции по г. о. Фрязино МУ МВД «Щелковское»,55.95319,38.04048
Нальчик,Отдел полиции № 2 УМВД по г. Нальчик,Отдел полиции № 2 УМВД по г. Нальчик,43.50574,43.63972
Курск,Отдел полиции № 1,"Отдел полиции № 1, Курск",51.72317,36.18753
Кострома,УМВД России по городу Костроме,"УМВД России по городу Костроме, Кострома",57.74745,41.01149
Евпатория,Отдел МВД по г. Евпатории,Отдел МВД по г. Евпатории,55.76474,37.61154
Железноводск,Отдел МВД по г. Железноводску,Отдел МВД по г. Железноводску,44.14848,43.00823
Ярославль,Отдел МВД России по Кировскому городскому району,"Отдел МВД России по Кировскому городскому району, Ярославль",57.62253,39.88211
Дубна,Отдел МВД по г. о. Дубна,Отдел МВД по г. о. Дубна,56.74933,37.20401
Москва,ОМВД России по Даниловскому району г. Москвы,ОМВД России по Даниловскому району г. Москвы,55.7044,37.65522
Москва,Отдел МВД России по Нижегородскому району,"Отдел МВД России по Нижегородскому району, Москва",55.73482,37.68153
Москва,ОМВД Алексеевский,"ОМВД Алексеевский, Москва",55.80824,37.64391
Москва,Отдел МВД России по району Дорогомилово г. Москвы,Отдел МВД России по району Дорогомилово г. Москвы,55.7429,37.5288
