city_en,city_pop
Gus-Khrustalny,51998
Snezhinsk,51921
Krasnokamsk,51815
Arsenyev,52723
Krasnokamensk,51451
Belorechensk,51405
Salekhard,51186
Zhigulyovsk,50782
Kotelniki,50723
Timashyovsk,50566
Kirishi,50079
