Lat,Lon,Title,city,cumulative_detainees,cumulative_detainees_per_1000000
45.03901,41.9632,Stavropol,Ставрополь,6,13.201668690922533
56.3745612,38.5844632,String,Струнино,1,NA
NA,NA,NA,Ступино,2,NA
61.25458,73.39617,Surgut,Сургут,1,2.5824111973349515
61.66411,50.81688,Syktyvkar,Сыктывкар,8,32.7968318260456
NA,NA,NA,Таганрог,4,NA
52.73711,41.43961,Tambov,Тамбов,3,10.355504468400179
54.72278,37.16478,Tarusa,Таруса,1,NA
56.85872,35.9176,Tver,Тверь,29,68.24027164334339
NA,NA,NA,Тольятти,1,NA
56.48843,84.94805,Tomsk,Томск,35,61.5646569617314
NA,NA,NA,Троицк (Москва),12,NA
54.6003824,53.6947066,Tuymase,Туймазы,1,NA
54.20484,37.61849,Tula,Тула,1,2.1369576134457375
NA,NA,NA,Тутаев,1,NA
57.15534,65.56186,Tyumen,Тюмень,36,44.079833476184646
51.83359,107.584,Ulan-Ude,Улан-Удэ,9,20.57077030677875
54.31866,48.39778,Ulyanovsk,Ульяновск,8,12.790545228966748
54.73479,55.95786,Ufa,Уфа,86,76.3810990529632
45.031933,35.382433,Feodosia,Феодосия,1,14.760147601476016
48.48144,135.0721,Khabarovsk,Хабаровск,15,24.577874996927765
55.89406,37.44395,Khimki,Химки,1,3.8796230558238958
52.96967,49.70673,Chapaevsk,Чапаевск,1,NA
56.11677,47.26278,Cheboksary,Чебоксары,3,6.05070490712168
55.16444,61.43684,Chelyabinsk,Челябинск,119,100.1717229536348
NA,NA,NA,Чита,1,NA
NA,NA,NA,Югорск,1,NA
46.96409,142.7285,Yuzhno-Sakhalinsk,Южно-Сахалинск,2,9.988263790046696
62.03969,129.7422,Yakutsk,Якутск,1,3.024666152473421
44.49095,34.15327,Yalta,Ялта,1,12.792467794962327
57.62607,39.88447,Yaroslavl,Ярославль,49,81.47614827328762
