city,city_lon,city_lat,city_en
Звенигород,NA,NA,NA
Владикавказ,NA,NA,NA
Заречный,NA,NA,NA
Ступино,NA,NA,NA
Ефремов,NA,NA,NA
Новозыбков,NA,NA,NA
